QuestionNumber,ToReplace,ReplaceWith,TypeOfReplacement,AddedBy
Question 781,delima,dilema,typo,MH
Question 99,grassfed,grass-fed,typo,MH
Question 1329,sooth,soothe,typo,BM
Question 1253,bish,bush,typo,BM
Question 1322,baskeet,basket,typo,BM
Question 2269,a braid,braids,typo,MP 
Question 703,lieing,lying,typo,MH
Question 1,behive,beehive,typo,JP
Question 1,bee hive,beehive,typo,JP
Question 1,behive,beehive,typo,MH
Question 10,pictures ,picture ,plural,MH
Question 100,hooks,hook,plural,MH
Question 1002,diseases,disease,plural,MH
Question 1002,illnesses,illness,plural,MH
Question 1002,pains,pain,plural,MH
Question 1004,smilke,smile,typo,MH
Question 1004,moustache,mustache,typo,MH
Question 1004,looks,look,plural,MH
Question 1007,egg,eggs,plural,MH
Question 1007,berrys,berries,typo,MH
Question 1009,opened,open,tense,MH
Question 101 ,voided,void,tense,MH
Question 1013,cotten,cotton ,typo,MH
Question 1014,hoops,hoop,plural,MH
Question 1015,emails,email,plural,MH
Question 1019,loaves,loaf,plural,MH
Question 1019,muffins,muffin,plural,MH
Question 1020,gig,gigs,plural,MH
Question 1020,job,jobs,plural,MH
Question 1021,cuds,cud,plural,MH
Question 1021,crud,curd,typo,MH
Question 1025,vengence,vengeance,typo,MH
Question 1026,organzie,organize,typo,MH
Question 1027,temperature,temperatures,plural,MH
Question 1029,areas,area,plural,MH
Question 1029,hill,hills,plural,MH
Question 1029,lands,land,plural,MH
Question 103,mice,mouse,tense,MH
Question 103,varmints,varmint,plural,MH
Question 103,booing,boo,tense,MH
Question 1032,baggette,bagguette,typo,MH
Question 1035,seperately,separately ,typo,MH
Question 1035,cheaply,cheap,tense,MH
Question 1036,mountaintp,mountaintop,typo,MH
Question 1036,mountains,mountain,typo,MH
Question 104,tags,tag,plural,MH
Question 104,butons,buttons,typo,MH
Question 104,button,buttons,plural,MH
Question 1040,rath,wrath,typo,MH
Question 1040,punnishment,punishment,typo,MH
Question 1040,wraith,wrath,typo,MH
Question 1041,cotq,cot,typo,MH
Question 1041,matress,mattress,typo,MH
Question 1041,tend,tent,typo,MH
Question 1042,craft,candles,plural,AZ
Question 1043,thief,thieves,plural,AZ
Question 1046,wain,wane,typo,AZ
Question 105,saphire,sapphire ,typo,MH
Question 1052,a minute, minute,typo,AZ
Question 1053,pens,pen,plural,AZ
Question 1054,levy,levee,typo,AZ
Question 1054,walls,wall,plural,AZ
Question 1054,dikes,dike,plural,AZ
Question 1054,damn,dam,typo,AZ
Question 1054,levies,levees,typo,AZ
Question 1054,levees,levee,plural,AZ
Question 1055,saloon,salon,typo,AZ
Question 1056,burns,burn,plural,AZ
Question 1056,chile,chill,typo,AZ
Question 1056,rashes,rash,plural,AZ
Question 1056,chil,chill,typo,AZ
Question 1057,pieces,piece,plural,AZ
Question 1057,pawns,pawn,plural,AZ
Question 1057,opponet,opponent,typo,AZ
Question 1062,cired,cried,typo,AZ
Question 1063,cars,car,plural,AZ
Question 1066,dagerous,dangerous,typo,AZ
Question 1067,balls,ball,plural,AZ
Question 1068,sylish,stylish,typo,AZ
Question 107,totalled,totaled,typo,MH
Question 107,broke,broken,tense,MH
Question 1070,10,ten,typo,AZ
Question 1070,100,one hundred,typo,AZ
Question 1070,20,twenty,typo,AZ
Question 1070,4,four,typo,AZ
Question 1070,2,two,typo,AZ
Question 1071,noise,noises,plural,AZ
Question 1072,insaine,insane,typo,AZ
Question 1073,shelves,shelf,plural,AZ
Question 1073,shelve,shelf,typo,AZ
Question 1077,glove,gloves,plural,AZ
Question 1077,tools,tool,plural,AZ
Question 1079,toliet,toilet,typo,AZ
Question 1080,auhentic,authentic,typo,AZ
Question 1081,snader,sander,typo,AZ
Question 1081,sandere,sander,typo,AZ
Question 1086,penn,pen,typo,AZ
Question 1087,trees,tree,plural,AZ
Question 1087,doors,door,plural,AZ
Question 1089,ingrediants,ingredients,typo,AZ
Question 1090,hive,hives,plural,AZ
Question 1096,knott,knot,typo,AZ
Question 1098,loins ,loin,plural,AZ
Question 1098,tenderloins,tenderloin,plural,AZ
Question 1098,rib,ribs,plural,AZ
Question 1098,bellies,belly,plural,AZ
Question 1098,sausages,sausage,plural,AZ
Question 1098,rhinds,rinds,typo,AZ
Question 1099,rack,racks,plural,AZ
Question 1099,shelf,shelves,plural,AZ
Question 1100,competiton,competition,typo,BM
Question 1101,wit,wits,plural,BM
Question 1101,brains,brain,plural,BM
Question 1101,brian,brain,typo,BM
Question 1104,war,wars,plural,BM
Question 1104,tensions,tension,plural,BM
Question 1104,divde,divide,typo,BM
Question 1106,shirts,shirt,plural,BM
Question 1110,pillows,pillow,plural,BM
Question 1113,sticks,stick,plural,BM
Question 1113,rocks,rock,plural,BM
Question 1113,cracks,crack,plural,BM
Question 1115,bilk,milk,typo,BM
Question 1117,sensative,sensitive,typo,BM
Question 1117,senstive,sensitive,typo,BM
Question 1119,rosey,rosy,typo,BM
Question 1120,reign,rein,typo,BM
Question 1120,reins,rein,plural,BM
Question 1123,meany,meanie,typo,BM
Question 1124,bath,bathe,typo,BM
Question 1126,clear,cleared,tense,BM
Question 1129,rythm,rhythm,typo,BM
Question 1129,palpitation,palpitations,plural,BM
Question 1129,rythms,rhythm,typo,BM
Question 1131,puch,push,typo,BM
Question 1134,lair,liar,typo,BM
Question 1136,sails,sail,plural,BM
Question 1136,rope,ropes,plural,BM
Question 1137,winds,wind,plural,BM
Question 1137,seas,sea,plural,BM
Question 1137,sails,sail,plural,BM
Question 1139,gaol,goal,typo,BM
Question 1141,lite,lit,typo,BM
Question 1142,disater,disaster,typo,BM
Question 1142,diaster,disaster,typo,BM
Question 1142,m ss,mess,typo,BM
Question 1144,bird,birds,plural,BM
Question 1145,gills,gill,plural,BM
Question 1145,gil,gill,typo,BM
Question 1145,lungs,lung,plural,BM
Question 1146,croon,crone,typo,BM
Question 1146,women,woman,plural,BM
Question 1148,sweaters,sweater,plural,BM
Question 1149,ingury,injury,typo,BM
Question 1149,half time,halftime,typo,BM
Question 1149,time-out,timeout,typo,BM
Question 1150,honking ,honk,tense,MH
Question 1150,backfiring,backfire,tense,MH
Question 1150,crashing,crash,tense,MH
Question 1151,survuve,survive,typo,MH
Question 1156,rocks,rock,plural,MH
Question 1158,softa,sofa,typo,MH
Question 1158,coach,couch,typo,MH
Question 1160,penicl,pencil,typo,MH
Question 1162,woke,awoke,typo,MH
Question 1162,awoken,awoke,tense,MH
Question 1162,woke up,awoke,typo,MH
Question 1164,sigh,sign,typo,MH
Question 1166,badges,badge,plural,MH
Question 1168,baths,bath,plural,MH
Question 1168,bathe,bath,tense,MH
Question 117,sticks,stick,plural,MH
Question 117,eye,eyes,plural,MH
Question 117,heads,head,plural,MH
Question 1171,bones,bone,plural,MH
Question 1171,marshmellows,marshmallows,typo,MH
Question 1175,knitt,knit,typo,MH
Question 1175,kint,knit,typo,MH
Question 1176,appaling,appalling,typo,MH
Question 1176,appauling,appalling,typo,MH
Question 1176,unbareable,unbearable ,typo,MH
Question 1176,intollerable,intolerable,typo,MH
Question 1176,dispicable,despicable,typo,MH
Question 1176,gorse,gross,typo,MH
Question 1178,turns,turn,plural,MH
Question 1178,curves,curve,plural,MH
Question 118,hives,hive,plural,MH
Question 118,nests ,nest,plural,MH
Question 1180,robe',robe,typo,MH
Question 1182,fears,fear,plural,MH
Question 1182,jelousy,jealousy,typo,MH
Question 1182,paintjob,paint job,typo,MH
Question 1183,painting ,paint,tense,MH
Question 1188,pilage,pillage,typo,MH
Question 1189,wellbeing,well-being,typo,MH
Question 119,tyme,thyme,typo,MH
Question 119,oreagno,oregano,typo,MH
Question 119,carraway,caraway,typo,MH
Question 1190,restauraunt,restaurant,typo,MH
Question 1190,restauran,restaurant,typo,MH
Question 1190,resturant,restaurant,typo,MH
Question 1190,restaraunt,restaurant,typo,MH
Question 1193,mayonaise,mayonnaise,typo,MH
Question 1193,mayonaisse,mayonnaise,typo,MH
Question 1193,grav,gravy,typo,MH
Question 1195,caraffe,carafe,typo,MH
Question 1195,thermus,thurmos,typo,MH
Question 1197,tree,trees,plural,MH
Question 12,vally,valley,typo,MH
Question 12,vallly,valley,typo,MH
Question 12,raven,ravine,typo,MH
Question 120,counter,counters,plural,MH
Question 120,cabinet,cabinets,plural,MH
Question 120,cabinents,cabinets,plural,MH
Question 120 ,countertop,countertops,plural,MH
Question 1200,wealthest,wealthiest,typo,MH
Question 1201,apparation,apparition,typo,MH
Question 1201,ghosts,ghost,plural,MH
Question 1201,spirits,spirit,plural,MH
Question 1204,arms,arm,plural,MH
Question 1204,hing,hinge,typo,MH
Question 1206,immensly,immensely,typo,MH
Question 1207,wiwne,wine,typo,MH
Question 1207,wiskey,whiskey,typo,MH
Question 1207,whisky,whiskey,typo,MH
Question 1209,easle,easel,typo,MH
Question 1209,pallette,palette,typo,MH
Question 1209,brushes,brush,plural,MH
Question 1209,colors,color,plural,MH
Question 1212,boyd,body,typo,MH
Question 1212,fin,fins,plural,MH
Question 1214,omlette,omelet,typo,MH
Question 1218,paints,paint,plural,MH
Question 1219,howling,howl,tense,MH
Question 122,souvenier,souvenir,typo,MH
Question 122,shel,shell,typo,MH
Question 122,souveneir,souvenir,typo,MH
Question 122,shells,shell,plural,MH
Question 1220,suncreen,sunscreen,typo,MH
Question 1223,posess,possess,typo,MH
Question 1223,exibit,exhibit,typo,MH
Question 1223,poses,possess,typo,MH
Question 1224,gmo's ,gmos,typo,MH
Question 1225,buffed,buff,typo,MH
Question 1228,omolette,omelet,typo,MH
Question 1228,dishes,dish,plural,MH
Question 1229,gray,grey,typo,MH
Question 123,wath,watch,typo,MH
Question 123,thef,theif,typo,MH
Question 1230,pose,poise,typo,MH
Question 1231,sisters,sister,plural,MH
Question 1231,brothers,brother,plural,MH
